pair_key,final_status,reason,rule_low_area_drop_h3_m2,rule_avg_gain_h,rule_intervention_volume_m3,rule_hb_pareto,rule_hb_rank,design_low_area_drop_h3_m2,design_avg_gain_h,design_improved_point_count,design_worsened_point_count,design_new_low_area_h3_m2,design_validation_status,requires_human_review
"C9,C24",高收益复核候选,设计转译仍有 4 个恶化点和 9 m² 新增低日照区，需要人工复核。,396.0,0.051698670605613,5551.33280395222,True,1,342.0,0.0728705071393402,157.0,4.0,9.0,已复算,True
"C9,C15",优先候选区间,HB-Radiance Pareto 成立，设计转译正向且未观察到新增低日照区或恶化点。,351.0,0.0374199901526341,3127.7553243151942,True,2,342.0,0.0448055145248646,102.0,0.0,0.0,已复算,False
"C9,C27",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,333.0,0.0408665681930083,7340.881193203204,False,3,,,,,,未复算,True
"C9,C21",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,333.0,0.0342195962580009,4251.977482318209,False,4,,,,,,未复算,True
"C9,C13",优先候选区间,HB-Radiance Pareto 成立，设计转译正向且未观察到新增低日照区或恶化点。,333.0,0.0317577548005908,2975.155636878196,True,5,333.0,0.0413589364844904,82.0,0.0,0.0,已复算,False
"C9,C26",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,315.0,0.0369276218611521,3906.126893415535,False,6,,,,,,未复算,True
"C9,C12",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,306.0,0.0455440669620876,4030.542903227826,False,7,,,,,,未复算,True
"C9,C35",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,297.0,0.0467749876907927,5303.319767447678,False,8,,,,,,未复算,True
"C9,C29",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,270.0,0.017232890201871,2550.2804318394587,True,9,,,,,,未复算,True
"C9,C25",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,252.0,0.0194485475135401,2499.710031867064,True,10,,,,,,未复算,True
"C15,C24",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,243.0,0.0556376169374692,4016.480099991295,False,11,,,,,,未复算,True
"C13,C24",高收益复核候选,设计转译仍有 4 个恶化点和 9 m² 新增低日照区，需要人工复核。,225.0,0.0499753815854259,3863.880412554296,False,12,207.0,0.0758247168882324,133.0,4.0,9.0,已复算,True
"C12,C24",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,198.0,0.0637616937469227,4919.267678903927,False,13,,,,,,未复算,True
"C15,C26",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,162.0,0.0408665681930083,2371.2741894546098,True,14,,,,,,未复算,True
"C15,C28",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,144.0,0.0324963072378138,1749.8607206821862,True,15,,,,,,未复算,True
"C13,C15",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,135.0,0.035696701132447,1440.3029329172705,True,16,,,,,,未复算,True
"C15,C29",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,117.0,0.0211718365337272,1015.4277278785336,True,17,,,,,,未复算,True
"C26,C35",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,108.0,0.0502215657311669,4546.838632587093,False,18,,,,,,未复算,True
"C13,C29",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,99.0,0.0155096011816839,862.8280404415348,True,19,,,,,,未复算,True
"C13,C25",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,81.0,0.017725258493353,812.2576404691393,True,20,,,,,,未复算,True
"C25,C29",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,18.0,0.0032003938946331,387.3824354304028,True,21,,,,,,未复算,True
"C6,C33",正向候选/待复核,设计转译正向，但未同时满足 HB-Radiance Pareto 与无副作用条件。,9.0,0.0100935499753815,5583.054926866385,False,22,18.0,0.0164943377646479,38.0,0.0,0.0,已复算,False
"C3,C19",未完成复算,缺少设计转译三维复算结果，不能形成最终判断。,0.0,0.001230920728705,5953.189146925456,False,23,,,,,,未复算,True
